No,Description,Neg,Pos,Rating
1,生活对我来说是,循规蹈矩的,总是令人兴奋的,1
2,我的每日生活是,一成不变的,总是充满新事物,1
3,我的每日任务总是,无聊而痛苦的经历,快乐和满意的源泉,1
4,生活令我感到兴奋和有趣,非常不符合,非常符合,1
5,我的日常生活乏味而重复,非常不符合,非常符合,-1
6,回想已有的成就令我感到满意,非常不符合,非常符合,1
7,我对已经达成的成就感到愉悦,非常不符合,非常符合,1
8,我在实现某些事情方面非常成功,非常不符合,非常符合,1
9,我在生活中没有什么成就,非常不符合,非常符合,-1
10,我回想生活中的成就时感觉良好,非常不符合,非常符合,1
11,我有一套体系框架来理解为什么要活着,非常不符合,非常符合,1
12,我有一套生活哲学来让我觉得生活有意义,非常不符合,非常符合,1
13,我有一套自己的评价系统使我觉得人生有价值,非常不符合,非常符合,1
14,我对世界的认知让我觉得自己的存在有意义,非常不符合,非常符合,1
15,我拥有某些品质，让我觉得生命充满意义,非常不符合,非常符合,1
16,我的人生中我,完全没有任何目标,有清晰明确的目标,1
17,我对我的生活,完全找不到目的或使命,找到了清晰和令人满意的目标,1
18,我对未来的目标有非常明确的看法,非常不符合,非常符合,1
19,我常在生活中迷失方向，找不到生活的目标和意义,非常不符合,非常符合,-1
20,我的人生是有价值的,非常不符合,非常符合,1
21,我的人生是有意义的,非常不符合,非常符合,1
22,我的人生有很高的价值,非常不符合,非常符合,1
23,我的人生有很重要的意义,非常不符合,非常符合,1
